"occurrence_id","aircraft_id","registration","operator_id","equipment","manufacturer","model","engine_type","engines_amount","takeoff_max_weight..Lbs.","seatings_amount","year_manufacture","registration_country","registration_category","registration_aviation","origin_flight","destination_flight","operation_phase","type_operation","damage_level","fatalities_amount","classification","type.of.occurrence","localization","fu","country","aerodrome","occurrence_day","time","under_investigation","investigating_command","investigation_status","report_number","published_report","publication_day","recommendation_amount","aircrafts_involved","takeoff"
26480,9077,"PPMEJ",1928,"HELICOPTER","ROBINSON HELICOPTER","R22","PISTON",1,1300,2,2001,"BRAZIL","PRI","INSTRUCTION","SISY","SISY","UNKNOWN","INSTRUCTION","SUBSTANTIAL",NA,"ACCIDENT","ENGINE FAILURE DURING THE FLIGHT","PIRAQUARA","PR","BRAZIL","****","2006-03-15","11:28:00","YES","SERIPA-5","FINISHED","",1,"2010-05-05",1,1,NA
26521,6046,"PTIZG",3992,"AIRPLANE","CESSNA AIRCRAFT","182P","PISTON",1,2949,4,1973,"BRAZIL","TPP","PRIVATE","SBBV","SWPD","UNKNOWN","PRIVATE","UNKNOWN",1,"ACCIDENT","UNKNOWN","BOA VISTA","RR","BRAZIL","****","2006-03-21","10:38:00","YES","SERIPA-7","IN PROGRESS","",NA,"",0,1,NA
26559,287,"PPVNY",5106,"AIRPLANE","BOEING COMPANY","737-3K9","JET",2,134997,142,1990,"BRAZIL","TPR","REGULAR","****","****","UNKNOWN","REGULAR","UNKNOWN",NA,"SERIOUS INCIDENT","ENGINE FAILURE DURING THE FLIGHT","GUARULHOS","SP","BRAZIL","SBGR","2006-02-13","01:54:00","YES","SERIPA-4","IN PROGRESS","UNDEFINED",NA,"",0,1,NA
26560,9081,"PTMZV",4834,"AIRPLANE","AIRBUS INDUSTRIE","A320-232","JET",2,169755,184,1997,"BRAZIL","TPR","REGULAR","****","****","UNKNOWN","REGULAR","UNKNOWN",NA,"SERIOUS INCIDENT","METEOROLOGICAL PHENOMENOM IN THE AIR","SÃO PAULO","SP","BRAZIL","SBSP","2006-03-28","02:00:00","YES","SERIPA-4","IN PROGRESS","UNDEFINED",NA,"",0,1,NA
26562,9082,"PRBRC",1034,"AIRPLANE","BOEING COMPANY","737-46B","JET",2,150000,179,1991,"BRAZIL","TPR","REGULAR","SBGL","SBSP","UNKNOWN","REGULAR","UNKNOWN",NA,"SERIOUS INCIDENT","LOSS OF CONTROL ON THE GROUND","SÃO PAULO","SP","BRAZIL","SBSP","2006-03-22","19:35:00","YES","SERIPA-4","FINISHED","UNDEFINED",0,"2006-10-09",17,1,1
26609,9089,"PRALF",2307,"AIRPLANE","AIR TRACTOR","AT-401","PISTON",1,6000,1,1991,"BRAZIL","SAE-AG","AGRICULTURAL","****","****","ANOTHER PHASE","AGRICULTURAL","DESTROYED",1,"ACCIDENT","LOW ALTITUDE MANEUVERS","CAMPO NOVO DO PARECIS","MT","BRAZIL","****","2006-03-26","13:00:00","YES","SERIPA-6","IN PROGRESS","UNDEFINED",NA,"",0,1,NA
26610,9090,"PTBSI",3992,"AIRPLANE","BEECH AIRCRAFT","P35","PISTON",1,3126,4,1962,"BRAZIL","TPP","PRIVATE","****","****","FINAL STRETCH","PRIVATE","DESTROYED",2,"ACCIDENT","COLLISION AGAINST OBSTACLE DURING THE FLIGHT","NOVA MARINGÁ","MT","BRAZIL","SWCY","2006-03-24","15:30:00","YES","SERIPA-6","IN PROGRESS","UNDEFINED",NA,"",0,1,NA
26619,9092,"PPMOF",4705,"HELICOPTER","ROBINSON HELICOPTER","R44","TURBOSHAFT",1,2398,4,2000,"BRAZIL","SAE","SPECIALIZED","SDWS","SJDO","TAKEOFF","SPECIALIZED","SUBSTANTIAL",2,"ACCIDENT","LOSS OF CONTROL ON THE GROUND","BARUERI","SP","BRAZIL","SDWS","2006-03-03","18:40:00","YES","SERIPA-4","FINISHED","",1,"2010-11-12",1,1,NA
26620,9093,"PTFSE",3992,"AIRPLANE","LET AIRCRAFT INDUSTRIES","L410UVP-E20","TURBOPROP",2,14550,21,1991,"BRAZIL","TPP","PRIVATE","SBME","SBRJ","CRUISE","PRIVATE","DESTROYED",19,"ACCIDENT","COLLISION AGAINST OBSTACLE DURING THE FLIGHT","RIO BONITO","RJ","BRAZIL","****","2006-03-31","20:38:00","YES","SERIPA-3","FINISHED","",1,"2007-03-19",23,1,NA
26621,9094,"PTGSA",4923,"AIRPLANE","NEIVA INDUSTRIA AERONAUTICA","EMB-201A","PISTON",1,3968,1,0,"BRAZIL","SAE-AG","AGRICULTURAL","****","****","SPECIALIZED","AGRICULTURAL","SUBSTANTIAL",1,"ACCIDENT","LOSS OF CONTROL IN THE AIR","CAMPO NOVO DO PARECIS","MT","BRAZIL","****","2006-03-07","13:15:00","YES","SERIPA-6","IN PROGRESS","UNDEFINED",NA,"",0,1,NA
26622,8655,"PTSSO",5106,"AIRPLANE","BOEING COMPANY","737-53A","JET",2,129999,125,1990,"BRAZIL","TPR","REGULAR","****","****","UNKNOWN","REGULAR","UNKNOWN",NA,"SERIOUS INCIDENT","LANDING ON UNPREDICTABLE PLACE","VITÓRIA","ES","BRAZIL","****","2006-03-05","00:14:00","YES","SERIPA-3","IN PROGRESS","UNDEFINED",NA,"",0,1,NA
26642,9097,"PPMAK",3992,"HELICOPTER","ROBINSON HELICOPTER","R22 BETA","PISTON",1,1369,2,1993,"BRAZIL","TPP","PRIVATE","SBLJ","****","UNKNOWN","PRIVATE","DESTROYED",1,"ACCIDENT","COLLISION AGAINST OBSTACLE DURING THE FLIGHT","TAIÓ","SC","BRAZIL","****","2006-03-31","03:00:00","YES","SERIPA-5","FINISHED","",1,"2009-08-05",7,1,NA
26643,7734,"PTJUM",3992,"AIRPLANE","CESSNA AIRCRAFT","182P","PISTON",1,2949,4,1974,"BRAZIL","TPP","PRIVATE","****","****","CRUISE","PRIVATE","DESTROYED",NA,"ACCIDENT","ENGINE FAILURE DURING THE FLIGHT","APIACÁS","MT","BRAZIL","****","2006-03-21","16:30:00","YES","SERIPA-6","IN PROGRESS","UNDEFINED",NA,"",0,1,NA
26660,4784,"PTBVF",4727,"AIRPLANE","CESSNA AIRCRAFT","170A","PISTON",1,1900,1,1948,"BRAZIL","SAE","SPECIALIZED","****","****","SPECIALIZED","SPECIALIZED","DESTROYED",NA,"ACCIDENT","LOSS OF CONTROL IN THE AIR","RIO DE JANEIRO","RJ","BRAZIL","****","2006-02-28","16:57:00","YES","SERIPA-3","IN PROGRESS","UNDEFINED",NA,"",0,1,NA
26679,483,"PPFHU",176,"AIRPLANE","AERO BOERO","AB-115","PISTON",1,1697,2,1989,"BRAZIL","PRI","INSTRUCTION","****","****","LANDING","INSTRUCTION","SUBSTANTIAL",NA,"ACCIDENT","LOSS OF CONTROL ON THE GROUND","CONCÓRDIA","SC","BRAZIL","****","2006-04-12","16:50:00","YES","SERIPA-5","IN PROGRESS","UNDEFINED",NA,"",0,1,1
26719,9103,"PTHOQ",4138,"HELICOPTER","BELL HELICOPTER","206B","TURBOSHAFT",1,3196,5,1981,"BRAZIL","TPX","AEROTAXI","SBMT","****","LOW ALTITUDE NAVIGATION","AEROTAXI","DESTROYED",3,"ACCIDENT","ENGINE FAILURE DURING THE FLIGHT","SÃO PAULO","SP","BRAZIL","****","2006-04-27","17:00:00","YES","SERIPA-4","FINISHED","",1,"2009-08-28",10,1,NA
26720,4987,"PPGGW",210,"AIRPLANE","AERO BOERO","AB-115","PISTON",1,1697,2,1992,"BRAZIL","PRI","INSTRUCTION","****","****","UNKNOWN","INSTRUCTION","UNKNOWN",NA,"SERIOUS INCIDENT","ENGINE FAILURE DURING THE FLIGHT","QUATRO BARRAS","PR","BRAZIL","****","2006-04-26","13:00:00","YES","SERIPA-5","IN PROGRESS","UNDEFINED",NA,"",0,1,NA
26723,9107,"PPGIE",183,"AIRPLANE","AERO BOERO","AB-115","PISTON",1,1697,2,1992,"BRAZIL","PRI","INSTRUCTION","****","****","UNKNOWN","INSTRUCTION","UNKNOWN",NA,"SERIOUS INCIDENT","LOSS OF CONTROL ON THE GROUND","IJUÍ","RS","BRAZIL","SSIJ","2006-04-23","13:00:00","YES","SERIPA-5","IN PROGRESS","UNDEFINED",NA,"",0,1,1
26759,9111,"PTKEZ",3992,"AIRPLANE","BEECH AIRCRAFT","V35B","PISTON",1,3399,6,1974,"BRAZIL","TPP","PRIVATE","SIKG","****","UNKNOWN","PRIVATE","DESTROYED",4,"ACCIDENT","ENGINE FAILURE DURING THE FLIGHT","ALTO ARAGUAIA","MT","BRAZIL","****","2006-05-08","13:10:00","YES","SERIPA-6","FINISHED","",1,"2009-10-09",7,1,NA
26779,3292,"PTIGL",4936,"AIRPLANE","TWIN COMMANDER","500-S","PISTON",2,6750,6,1972,"BRAZIL","TPX","AEROTAXI","****","****","TRAFFIC CIRCUIT","AEROTAXI","LIGHT",NA,"ACCIDENT","ENGINE FAILURE DURING THE FLIGHT","SÃO GONÇALO DO AMARANTE","RN","BRAZIL","****","2006-05-05","10:10:00","YES","SERIPA-2","IN PROGRESS","UNDEFINED",NA,"",0,1,NA
26780,9113,"PRJAC",3992,"HELICOPTER","ROBINSON HELICOPTER","R44","PISTON",1,2398,4,2005,"BRAZIL","TPP","PRIVATE","SIVU","****","CRUISE","PRIVATE","SUBSTANTIAL",NA,"ACCIDENT","LOSS OF CONTROL IN THE AIR","VILA VELHA","ES","BRAZIL","****","2006-02-16","11:15:00","YES","SERIPA-3","FINISHED","",1,"2010-08-18",3,1,NA
26860,9116,"PTYGG",3992,"HELICOPTER","ROBINSON HELICOPTER","R44","PISTON",1,2398,4,1995,"BRAZIL","TPP","PRIVATE","SSUO","****","CRUISE","PRIVATE","DESTROYED",1,"ACCIDENT","TERRAIN COLLISION","MOGI DAS CRUZES","SP","BRAZIL","****","2006-05-05","13:30:00","YES","SERIPA-4","FINISHED","",1,"2012-08-08",2,1,NA
26861,9117,"PRBRD",1034,"AIRPLANE","BOEING COMPANY","737-3M8","JET",2,136999,157,1989,"BRAZIL","TPN","NOT REGULAR","****","****","CRUISE","REGULAR","UNKNOWN",NA,"SERIOUS INCIDENT","EXPLOSIVE / NOT INTENTIONAL DECOMPRESSION","NÃO IDENTIFICADA","MG","BRAZIL","****","2006-04-28","14:00:00","YES","CENIPA","IN PROGRESS","UNDEFINED",NA,"",0,1,NA
26902,9120,"PTKNN",3992,"AIRPLANE","CESSNA AIRCRAFT","210L","PISTON",1,3800,6,1974,"BRAZIL","TPP","PRIVATE","****","****","UNKNOWN","PRIVATE","DESTROYED",NA,"ACCIDENT","FIRE ON THE GROUND","COXIM","MS","BRAZIL","****","2006-03-09","13:30:00","YES","SERIPA-4","IN PROGRESS","UNDEFINED",NA,"",0,1,NA
26959,9123,"PTOJU",3992,"AIRPLANE","BEECH AIRCRAFT","C90","TURBOPROP",2,9649,8,1980,"BRAZIL","TPP","PRIVATE","SBMT","SBRP","ASCENSION","PRIVATE","SUBSTANTIAL",NA,"ACCIDENT","ENGINE FAILURE DURING THE FLIGHT","BRAGANÇA PAULISTA","SP","BRAZIL","SBBP","2006-05-15","10:30:00","YES","SERIPA-4","FINISHED","",1,"2012-06-04",6,1,1
26960,1586,"PTHQY",3963,"HELICOPTER","BELL HELICOPTER","206B","TURBOSHAFT",1,3198,5,1983,"BRAZIL","TPX","AEROTAXI","****","****","CRUISE","AEROTAXI","SUBSTANTIAL",NA,"ACCIDENT","ENGINE FAILURE DURING THE FLIGHT","ANADIA","AL","BRAZIL","****","2006-04-23","13:00:00","YES","SERIPA-2","FINISHED","",1,"2009-12-30",10,1,NA
26980,9126,"PRGOW",2327,"AIRPLANE","BOEING COMPANY","737-76N","JET",2,137998,153,1998,"BRAZIL","TPR","REGULAR","****","****","LANDING","REGULAR","UNKNOWN",NA,"SERIOUS INCIDENT","LOSS OF CONTROL ON THE GROUND","BRASÍLIA","DF","BRAZIL","SBBR","2006-04-28","14:00:00","YES","SERIPA-6","IN PROGRESS","UNDEFINED",NA,"",0,1,1
26999,8954,"PTWJG",3992,"AIRPLANE","EMBRAER","EMB-120ER","TURBOPROP",2,26433,34,1988,"BRAZIL","TPP","PRIVATE","****","****","LANDING","PRIVATE","UNKNOWN",NA,"SERIOUS INCIDENT","LOSS OF CONTROL ON THE GROUND","LONDRINA","PR","BRAZIL","SBLO","2006-05-18","22:06:00","YES","SERIPA-5","IN PROGRESS","UNDEFINED",NA,"",0,1,1
27059,9133,"PPFLR",317,"AIRPLANE","AERO BOERO","AB-180","PISTON",1,1860,2,1990,"BRAZIL","PRI","INSTRUCTION","****","****","UNKNOWN","INSTRUCTION","UNKNOWN",NA,"SERIOUS INCIDENT","LOSS OF CONTROL ON THE GROUND","PORTO ALEGRE","RS","BRAZIL","SSBN","2006-06-02","13:10:00","YES","SERIPA-5","IN PROGRESS","UNDEFINED",NA,"",0,1,NA
27060,4814,"PTLBW",3992,"AIRPLANE","LEARJET","25","JET",2,15000,7,1970,"BRAZIL","TPP","PRIVATE","****","****","UNKNOWN","PRIVATE","UNKNOWN",NA,"SERIOUS INCIDENT","SYSTEM / COMPONENT FAILURE","CASCAVEL","PR","BRAZIL","SBCA","2006-05-27","20:48:00","YES","SERIPA-5","IN PROGRESS","UNDEFINED",NA,"",0,1,1
27081,8990,"PTHXK",2487,"HELICOPTER","EUROCOPTER DEUTSCHLAND","BO-105C","TURBOSHAFT",2,5511,6,1988,"BRAZIL","TPX","AEROTAXI","****","****","UNKNOWN","AEROTAXI","UNKNOWN",NA,"SERIOUS INCIDENT","COLLISION AGAINST OBSTACLE ON THE GROUND","COARI","AM","BRAZIL","SJQY","2006-01-27","13:00:00","YES","SERIPA-7","IN PROGRESS","UNDEFINED",NA,"",0,1,NA
27140,2148,"PTOZR",3259,"AIRPLANE","BEECH AIRCRAFT","C90","TURBOPROP",2,9649,10,1983,"BRAZIL","TPX","AEROTAXI","****","****","UNKNOWN","AEROTAXI","UNKNOWN",NA,"SERIOUS INCIDENT","AIR TRAFFIC","NÃO IDENTIFICADA","SP","BRAZIL","****","2006-05-16","12:40:00","YES","SERIPA-4","IN PROGRESS","UNDEFINED",NA,"",0,1,NA
27162,1146,"PPGLK",223,"AIRPLANE","AERO BOERO","AB-115","PISTON",1,1697,3,1992,"BRAZIL","PRI","INSTRUCTION","****","****","UNKNOWN","INSTRUCTION","UNKNOWN",NA,"SERIOUS INCIDENT","ABOUT LANDING GEAR","BELO HORIZONTE","MG","BRAZIL","SBPR","2006-05-27","18:40:00","YES","SERIPA-3","IN PROGRESS","UNDEFINED",NA,"",0,1,0
27180,7055,"PTJSI",3889,"AIRPLANE","CESSNA AIRCRAFT","210L","PISTON",1,3800,6,1974,"BRAZIL","TPX","AEROTAXI","****","****","FINAL APPROXIMATION","AEROTAXI","SUBSTANTIAL",NA,"ACCIDENT","ENGINE FAILURE DURING THE FLIGHT","BELO HORIZONTE","MG","BRAZIL","****","2006-06-21","23:27:00","YES","SERIPA-3","IN PROGRESS","UNDEFINED",NA,"",0,1,1
27260,5566,"PTLEO",4889,"AIRPLANE","NEIVA INDUSTRIA AERONAUTICA","EMB-720C","PISTON",1,3399,7,1980,"BRAZIL","TPX","AEROTAXI","****","****","ASCENSION","AEROTAXI","DESTROYED",NA,"ACCIDENT","ENGINE FAILURE DURING THE FLIGHT","ALMEIRIM","PA","BRAZIL","****","2006-06-28","13:20:00","YES","SERIPA-1","IN PROGRESS","UNDEFINED",NA,"",0,1,NA
27261,1278,"PTHNI",3175,"HELICOPTER","HELIBRAS","HB-350B","TURBOSHAFT",1,4299,6,1990,"BRAZIL","TPX","AEROTAXI","****","****","RUSH IN THE AIR","AEROTAXI","SUBSTANTIAL",NA,"ACCIDENT","LOSS OF CONTROL IN THE AIR","ALENQUER","PA","BRAZIL","****","2006-06-27","11:15:00","YES","SERIPA-1","IN PROGRESS","UNDEFINED",NA,"",0,1,NA
27302,9149,"PRITB",3992,"AIRPLANE","CESSNA AIRCRAFT","208","TURBOPROP",1,8359,11,2004,"BRAZIL","TPP","PRIVATE","****","****","LANDING","PRIVATE","UNKNOWN",NA,"ACCIDENT","COLLISION AGAINST OBSTACLE DURING THE FLIGHT","MANAUS","AM","BRAZIL","SWFN","2006-02-15","14:35:00","YES","SERIPA-7","IN PROGRESS","UNDEFINED",NA,"",0,1,NA
27306,9151,"PTROX",1378,"AIRPLANE","NEIVA INDUSTRIA AERONAUTICA","EMB-721D","PISTON",1,3600,7,1984,"BRAZIL","TPX","AEROTAXI","****","****","UNKNOWN","AEROTAXI","DESTROYED",NA,"ACCIDENT","ANOTHER TYPES","JUTAÍ","AM","BRAZIL","****","2006-07-06","16:15:00","YES","SERIPA-7","IN PROGRESS","UNDEFINED",NA,"",0,1,NA
27347,7313,"PTHQW",1576,"HELICOPTER","BELL HELICOPTER","206B","TURBOSHAFT",1,3198,5,1982,"BRAZIL","TPX","AEROTAXI","****","****","UNKNOWN","AEROTAXI","SUBSTANTIAL",NA,"SERIOUS INCIDENT","ENGINE FAILURE DURING THE FLIGHT","DUQUE DE CAXIAS","RJ","BRAZIL","****","2006-07-18","12:10:00","YES","SERIPA-3","IN PROGRESS","UNDEFINED",NA,"",0,1,NA
27356,9155,"PTPPE",161,"GLIDER","LET AIRCRAFT INDUSTRIES","L23","WITHOUT TRACTION",0,1122,2,1993,"BRAZIL","PRI","INSTRUCTION","****","****","FINAL STRETCH","INSTRUCTION","UNKNOWN",NA,"SERIOUS INCIDENT","COLLISION AGAINST OBSTACLE DURING THE FLIGHT","LUZIÂNIA","GO","BRAZIL","SWUZ","2006-06-11","15:42:00","YES","SERIPA-6","IN PROGRESS","UNDEFINED",NA,"",0,1,NA
27375,9156,"PTUOE",3966,"AIRPLANE","NEIVA INDUSTRIA AERONAUTICA","EMB-202","PISTON",1,3968,1,2003,"BRAZIL","SAE-AG","AGRICULTURAL","****","****","UNKNOWN","AGRICULTURAL","SUBSTANTIAL",NA,"ACCIDENT","ENGINE FAILURE DURING THE FLIGHT","IGREJA NOVA","AL","BRAZIL","****","2006-07-29","19:40:00","YES","SERIPA-2","IN PROGRESS","UNDEFINED",NA,"",0,1,NA
27389,7553,"PTOPL",3992,"AIRPLANE","PIPER AIRCRAFT","PA-34-200T","PISTON",2,4567,7,1980,"BRAZIL","TPP","PRIVATE","****","****","UNKNOWN","PRIVATE","UNKNOWN",NA,"SERIOUS INCIDENT","HARD LANDING","NÃO IDENTIFICADA","GO","BRAZIL","****","2006-06-30","14:00:00","YES","SERIPA-6","IN PROGRESS","UNDEFINED",NA,"",0,1,NA
27409,9158,"PPKBC",161,"AIRPLANE","XAVANTE","A-122-B","PISTON",1,1851,2,1975,"BRAZIL","PRI","INSTRUCTION","****","****","UNKNOWN","INSTRUCTION","UNKNOWN",NA,"SERIOUS INCIDENT","ENGINE FAILURE DURING THE FLIGHT","PIRENÓPOLIS","GO","BRAZIL","****","2006-06-24","19:43:00","YES","SERIPA-6","IN PROGRESS","UNDEFINED",NA,"",0,1,NA
27410,252,"PTRMP",3175,"AIRPLANE","EMBRAER","EMB-810C","PISTON",2,4570,7,1982,"BRAZIL","TPX","AEROTAXI","****","****","UNKNOWN","AEROTAXI","UNKNOWN",NA,"SERIOUS INCIDENT","ABOUT LANDING GEAR","PARINTINS","AM","BRAZIL","SWPI","2006-07-03","10:40:00","YES","SERIPA-7","IN PROGRESS","UNDEFINED",NA,"",0,1,NA
27449,9160,"PTYFB",3992,"HELICOPTER","HELIBRAS","AS 350 B2","TURBOSHAFT",1,4960,6,1999,"BRAZIL","TPP","PRIVATE","SDUM","SBSP","CRUISE","PRIVATE","SUBSTANTIAL",NA,"ACCIDENT","ENGINE FAILURE DURING THE FLIGHT","SÃO PAULO","SP","BRAZIL","****","2006-08-10","00:20:00","YES","SERIPA-4","FINISHED","",1,"2010-07-01",5,1,NA
27469,7730,"PTOUY",3992,"AIRPLANE","CESSNA AIRCRAFT","T210N","PISTON",1,3999,6,1982,"BRAZIL","TPP","PRIVATE","SWFN","SWBR","RUSH ON THE GROUND","PRIVATE","DESTROYED",NA,"ACCIDENT","LOSS OF CONTROL IN THE AIR","BORBA","AM","BRAZIL","****","2006-08-24","14:30:00","YES","SERIPA-7","FINISHED","",1,"2014-10-14",1,1,NA
27489,3416,"PTRAA",3402,"AIRPLANE","EMBRAER","EMB-810C","PISTON",2,4570,6,1980,"BRAZIL","TPX","AEROTAXI","****","****","UNKNOWN","AEROTAXI","SUBSTANTIAL",NA,"ACCIDENT","ENGINE FAILURE DURING THE FLIGHT","ARAGUARI","MG","BRAZIL","****","2006-08-16","16:50:00","YES","SERIPA-3","IN PROGRESS","UNDEFINED",NA,"",0,1,NA
